Date,open,high,low,close,open_1,high_1,low_1,close_1,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm,open_norm_1,high_norm_1,low_norm_1,close_norm_1
2017-01-03,28.950001,29.0825,28.690001,29.0375,14.07,14.07,12.85,12.85,29.0375,['hammer'],None,0.22292795650435013,0.11464997363050111,0.6624220698651487,,0,0.0,0.0,0.0,0.00021241790039325248,0.06867535101315551,0.06249999917935925,0.06940624157549385,0.05044187490300814
2017-01-04,28.9625,29.127501,28.9375,29.004999,12.78,12.8,11.63,11.85,29.004999,['inverse hammer'],None,0.2236777701170164,0.6447439750317,0.13157825485128363,,0,8.133133572796325e-05,0.00029248492543443305,0.0016452769385871535,0.0,0.05116720816592811,0.045824579230244494,0.04966833604586626,0.03684568220677953
2017-01-05,28.98,29.215,28.952499,29.1525,11.96,12.09,11.4,11.67,29.1525,[],None,0.6571403537510304,0.23809433106921468,0.10476531517975494,,0,0.00019520431558550655,0.0008611864763019561,0.0017449844477159526,0.0009640273445711278,0.040038001084744826,0.036502100361054335,0.045947255495198736,0.03439836752145839
2017-01-06,29.195,29.540001,29.1175,29.477501,11.7,11.74,10.98,11.32,29.477501,[],None,0.668639837538845,0.14792864395587213,0.1834315185052828,,0,0.0015942152109782448,0.0029735371629782403,0.0028418468194581215,0.003088147526895124,0.036509228107784245,0.031906512186101466,0.03915223883745808,0.029639700077778386
2017-01-09,29.487499,29.8575,29.485001,29.747499,11.71,12.08,11.46,11.56,29.747499,['three white soldiers'],None,0.6979884509757092,0.29530549075299556,0.006706058271295264,,0,0.003497514224427012,0.00503712844629442,0.005284850307180122,0.004852782715670273,0.036644950145359664,0.03637079784176997,0.046917972160590266,0.03290278632487326
2017-01-10,29.692499,29.844999,29.575001,29.7775,11.59,11.79,11.31,11.49,29.7775,[],None,0.31482085052481124,0.2499981481344353,0.43518100134075344,,0,0.004831454845615452,0.004955877939575554,0.005883135247615606,0.005048861280320532,0.03501628569445479,0.03256302478252329,0.044491180497111454,0.03195105283613725
2017-01-11,29.684999,29.9825,29.65,29.9375,11.56,12.23,11.21,11.26,29.9375,[],None,0.7594015037593876,0.1353383458646655,0.10526015037594688,,0,0.004782652139962207,0.005849568518277393,0.006381699383701367,0.006094578767872366,0.03460911958172856,0.038340335631035505,0.04287331938812561,0.028823928516004654
2017-01-12,29.725,29.825001,29.5525,29.8125,11.48,12.6,11.32,11.54,29.8125,['hammer'],None,0.32109973908351885,0.04587506100895127,0.6330251999075298,,0,0.0050429397438068735,0.004825900527099414,0.00573355736489628,0.005277611980722491,0.033523343281125315,0.04319852884455713,0.04465296660801005,0.03263086247094865
2017-01-13,29.7775,29.905001,29.702499,29.76,11.45,11.62,10.94,11.23,29.76,[],None,0.086418899566416,0.6296283493496327,0.2839527510839512,,0,0.005384558683379503,0.005345862173168514,0.006730692284678291,0.004934485930119553,0.03311617716839908,0.030330881954689026,0.03850509439386374,0.028416042735117802
2017-01-17,29.584999,30.059999,29.555,30.0,12.2,12.75,11.79,11.87,30.0,['bullish engulfing'],None,0.8217857857144251,0.11881013625769767,0.05940407802787732,,0,0.004131949397919055,0.006353274863386271,0.00575017639101949,0.006503062161447304,0.04329532998655454,0.04516806663382264,0.05225691382024361,0.037117606060704106
2017-01-18,30.0,30.125,29.9275,29.997499,11.79,12.81,11.69,12.48,29.997499,['doji'],None,0.012663291139234098,0.6329113924050582,0.35442531645570763,,0,0.006832372284425486,0.0067757502003379655,0.00822641128337745,0.006486716289970024,0.037730726445962884,0.04595588174952886,0.050639052711257765,0.04541128360540356
2017-01-19,29.85,30.022499,29.842501,29.945,12.58,13.28,12.17,12.78,29.945,[],None,0.5277836420404572,0.43055478394203833,0.04166157401750441,,0,0.005856318171360786,0.006109542841791354,0.00766137104279882,0.006143596775101373,0.04845276741441999,0.05212710015589414,0.05840478603438995,0.04949014141427213
